CO_CODE,CTU_NAME,SUMLEV,YEAR,DATASOURCE,DATASOURCE_DESC,SUBJECT_AREA,SUBJECT_AREA_DESC,SUBJECT_LEVEL,SUBJECT_LEVEL_DESC,DENOMINATOR_LEVEL_DESC,MEASURE,DENOMINATOR
53,Hennepin County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,60904,782754
53,Hennepin County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,145704,782754
53,Hennepin County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,158093,782754
53,Hennepin County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,62232,782754
53,Hennepin County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,234301,782754
53,Hennepin County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,121520,782754
53,Hennepin County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,59964,808298
53,Hennepin County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,147117,808298
53,Hennepin County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,160084,808298
53,Hennepin County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,65661,808298
53,Hennepin County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,244893,808298
53,Hennepin County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,130579,808298
53,Hennepin County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,60912,795357
53,Hennepin County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,146631,795357
53,Hennepin County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,159008,795357
53,Hennepin County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,64501,795357
53,Hennepin County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,238548,795357
53,Hennepin County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,125757,795357
53,Hennepin County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,59153,808209
53,Hennepin County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,146882,808209
53,Hennepin County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,160263,808209
53,Hennepin County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,66915,808209
53,Hennepin County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,244479,808209
53,Hennepin County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,130517,808209
53,Hennepin County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,60503,821362
53,Hennepin County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,146311,821362
53,Hennepin County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,160152,821362
53,Hennepin County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,68370,821362
53,Hennepin County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,249057,821362
53,Hennepin County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,136969,821362
123,Ramsey County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,33841,327011
123,Ramsey County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,78021,327011
123,Ramsey County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,65965,327011
123,Ramsey County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,22898,327011
123,Ramsey County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,76789,327011
123,Ramsey County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,49497,327011
123,Ramsey County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,32867,324224
123,Ramsey County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,77123,324224
123,Ramsey County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,65193,324224
123,Ramsey County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,22976,324224
123,Ramsey County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,76600,324224
123,Ramsey County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,49465,324224
123,Ramsey County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,35408,330647
123,Ramsey County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,78151,330647
123,Ramsey County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,65891,330647
123,Ramsey County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,24524,330647
123,Ramsey County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,77071,330647
123,Ramsey County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,49602,330647
123,Ramsey County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,33813,327530
123,Ramsey County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,76574,327530
123,Ramsey County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,65880,327530
123,Ramsey County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,24057,327530
123,Ramsey County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,77571,327530
123,Ramsey County,50,2011,ACS 2007-2011,American Community Survey 5Yr Summary File 2007-2011,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,49635,327530
123,Ramsey County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,34090,334598
123,Ramsey County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,77597,334598
123,Ramsey County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,67907,334598
123,Ramsey County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,26214,334598
123,Ramsey County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,78474,334598
123,Ramsey County,50,2012,ACS 2010-2012,American Community Survey 3Yr Summary File 2010-2012,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,50316,334598
123,Ramsey County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,33571,330997
123,Ramsey County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,76492,330997
123,Ramsey County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,66894,330997
123,Ramsey County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,24433,330997
123,Ramsey County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,79156,330997
123,Ramsey County,50,2012,ACS 2008-2012,American Community Survey 5Yr Summary File 2008-2012,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,50451,330997
123,Ramsey County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,33876,340479
123,Ramsey County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,76033,340479
123,Ramsey County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,68896,340479
123,Ramsey County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,27353,340479
123,Ramsey County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,82361,340479
123,Ramsey County,50,2013,ACS 2011-2013,American Community Survey 3Yr Summary File 2011-2013,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,51960,340479
123,Ramsey County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,34042,335627
123,Ramsey County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,77388,335627
123,Ramsey County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,66535,335627
123,Ramsey County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,25432,335627
123,Ramsey County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,80618,335627
123,Ramsey County,50,2013,ACS 2009-2013,American Community Survey 5Yr Summary File 2009-2013,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,51612,335627
123,Ramsey County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,34336,340533
123,Ramsey County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,76904,340533
123,Ramsey County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,66834,340533
123,Ramsey County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,27026,340533
123,Ramsey County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,82059,340533
123,Ramsey County,50,2014,ACS 2010-2014,American Community Survey 5Yr Summary File 2010-2014,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,53374,340533
123,Ramsey County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,34686,346106
123,Ramsey County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,75942,346106
123,Ramsey County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,67706,346106
123,Ramsey County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,28030,346106
123,Ramsey County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,84403,346106
123,Ramsey County,50,2015,ACS 2011-2015,American Community Survey 5Yr Summary File 2011-2015,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,55339,346106
139,Scott County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,4472,81057
139,Scott County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,20504,81057
139,Scott County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,17658,81057
139,Scott County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,8809,81057
139,Scott County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,21639,81057
139,Scott County,50,2010,ACS 2008-2010,American Community Survey 3Yr Summary File 2008-2010,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7975,81057
139,Scott County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,4873,79509
139,Scott County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,19719,79509
139,Scott County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,17508,79509
139,Scott County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,ASSOCIATE,Associate degree,Population 25 years and over,8780,79509
139,Scott County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,BACHELORS,Bachelor degree,Population 25 years and over,21175,79509
139,Scott County,50,2010,ACS 2006-2010,American Community Survey 5Yr Summary File 2006-2010,POPEDULEV,Highest Level of Education Attained,GRADPROF,Graduate/professional degree,Population 25 years and over,7454,79509
139,Scott County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,LESSHS,Did not graduate high school,Population 25 years and over,4485,82663
139,Scott County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,HIGHSCHOOL,High school graduate,Population 25 years and over,20417,82663
139,Scott County,50,2011,ACS 2009-2011,American Community Survey 3Yr Summary File 2009-2011,POPEDULEV,Highest Level of Education Attained,SOMECOLLEGE,"Some college, no degree",Population 25 years and over,18233,82663
